index,text,response,gemini
12439,A white bike is,,"a white bike. 
"
12440,The boy locked the,,"door. 
"
12441,People walking around in,,"costume. 
"
12442,A busy city that looks,,"like an anthill from above. 
"
12443,A view of buildings and people walking across,,"a bustling city square. 
"
12444,A woman is making,,"pancakes. 
"
12445,A man sitting in,,"a crowded train station. 
"
12446,A woman preparing to,,"board a train. 
"
12447,A woman wearing an apron inspects a large pot on a,,"stove. 
"
12448,A model posing to look as if,,"she doesn't know she's being photographed. 
"
12449,"Three firefighters, the nearest firefighter is holding",,"a hose. 
"
12450,A man walking along side,,"a river. 
"
12451,A driver is racing his Ford,,"Mustang around the track. 
"
12452,Three guys and a girl are,,"playing poker. 
"
12453,A little boy underwater in a,,"swimming pool. 
"
12454,A little boy swimming underwater with,,"a bright orange goldfish. 
"
12455,A man wearing a white shire shirt and hate,,"A man wearing a white shire shirt and hate walked into the room. 
"
12456,A saddle bronc rider gets lifted out of the,,"chute. 
"
12457,a woman with a straw hat working on,,"a laptop in a sunny garden. 
"
12458,A man wearing a rice hat is shucking corn,,"in the shade of a palm tree. 
"
12459,a woman wearing a Chinese straw hat operating some sort of,,"loom. 
"
12460,A woman on the side of a,,"road. 
"
12461,A man in blue shorts and without a shirt is,,"sunbathing on the beach. 
"
12462,Women exercising one woman has a,,"yoga mat. 
"
12463,Students practicing yoga in,,"a serene garden. 
"
12464,The young man is waiting,,"for his date. 
"
12465,A man is sleeping,,"soundly. 
"
12466,A white and brown dog,,"ran through the park. 
"
12467,A row of legs and black boots with a,,"glint of silver spurs. 
"
12468,A man in blue lies on a mostly-barren patch of,,"grass, unmoving. 
"
12469,Various people hanging around,,"the courthouse steps. 
"
12470,A little girl follows two guys,,"into an ice cream shop. 
"
12471,A lady is on the,,"phone. 
"
12472,Little girl in a blue and yellow plaid outfit,,"skipped down the sidewalk, her laughter echoing in the summer air. 
"
12473,"Little girl walking along a dirt, rock, and grass path wearing a",,"bright yellow sundress. 
"
12474,The blond woman is searching for,,"her lost earring. 
"
12475,Stacks of neatly folded clothing cover most of this floor while a,,"single bare lightbulb illuminates the cramped space. 
"
12476,A young woman packs belongings,,"into a worn leather suitcase. 
"
12477,People going for a long,,"hike. 
"
12478,A woman in costume is,,"a vision. 
"
12479,A man carrying a load of fresh direct boxes on car with,,"a flat tire. 
"
12480,A man sitting on a,,"park bench. 
"
12481,A man stopping on the sidewalk with,,"a bouquet of red roses. 
"
12482,A man is sitting on,,"a park bench. 
"
12483,Man smokes while sitting,,"on the porch. 
"
12484,Man on the sidewalk,,"smiled at the passing dog. 
"
12485,"A couple, wearing black,",,"walked hand-in-hand towards the cemetery. 
"
12486,People in orange vests and blue pants with a yellow,,"stripe are directing traffic. 
"
12487,A young man and young lady dancing on a carpeted floor with a,,"twirling disco ball overhead. 
"
12488,The skier is wearing a yellow jumpsuit,,"and a matching beanie. 
"
12489,A track event,,"is the 100-meter dash. 
"
12490,An english farmer with,,"muddy boots and a wary smile. 
"
12491,Children's soccer game being played while,,"a dog playfully chases a butterfly on the field. 
"
12492,A soccer game played by a blue team and a,,"red team. 
"
12493,Two soccer teams are competing,,"for the championship. 
"
12494,Soccer teams play on a field as the,,"game's objective is to score goals. 
"
12495,White small child wearing a brown and,,"white striped shirt. 
"
12496,A little boy in brown pants is,,"playing in the sandbox. 
"
12497,Toddler in striped sweatshirt plays,,"with building blocks. 
"
12498,A woman wearing a pink hat is looking,,"out the window. 
"
12499,Three girls on an,,"escapade. 
"
12500,Woman at Walmart check-out having her,,"groceries scanned. 
"
12501,A woman is waiting with children as,,"her husband shops for groceries. 
"
12502,A blond woman with two children is,,"sitting on a park bench. 
"
12503,A woman sitting in a,,"park watched the children play. 
"
12504,A young boy paddles across the,,"lake, his laughter echoing through the stillness. 
"
12505,A baseball player is about,,"to hit a home run. 
"
12506,A white dog runs,,"through the snow. 
"
12507,A fuzzy white lap dog,,"curled up at the foot of the bed. 
"
12508,A small white dog running,,"across the park. 
"
12509,A baseball player is putting all his,,"effort into winning the game. 
"
12510,A woman in a blue shirt and,,"sunglasses walked her dog. 
"
12511,Cheerleaders are doing a cheer,,"on the sidelines. 
"
12512,"An excited, smiling woman stands at a red railing",,"overlooking a sparkling cityscape at night. 
"
12513,A lady is kneeling,,"in prayer. 
"
12514,The silhouette of three people,,"danced against the setting sun. 
"
12515,Two people wearing blue clothing are making,,"eye contact. 
"
12516,A spotted black and white,,"dog 
"
12517,"A large group, wearing pink",,"...danced in unison to the disco music. 
"
12518,A baby is playing with,,"blocks. 
"
12519,A woman is running a,,"marathon. 
"
12520,A group of people point forwards,,"...towards the horizon. 
"
12521,Several people are dancing,,"on the dance floor. 
"
12522,An adult couple enjoys time,,"together. 
"
12523,An average looking man,,"walked into the coffee shop. 
"
12524,Two tan and white dogs and one tan,,"and white cat played in the yard. 
"
12525,A man and woman are walking,,"along the beach. 
"
12526,A man is using his computer,,"to check his email. 
"
12527,A camera crew is filming two women in formal dresses,,"as they walk down a red carpet. 
"
12528,man sitting down playing a,,"guitar. 
"
12529,Young woman running as two guys in the,,"background cheer her on. 
"
12530,A man in a blue shirt sits outside alone,,", watching the sunset. 
"
12531,A man dressed in blue shirt and shorts sits,,"on a park bench, feeding the pigeons. 
"
12532,A young man in a blue blazer and shorts sits alone,,"on a park bench, feeding the pigeons. 
"
12533,A young Asian man sits behind a set,,"of drums. 
"
12534,"Two young men drink beer,",,"laugh, and share stories. 
"
12535,A man being airlifted to,,"the hospital after a skiing accident. 
"
12536,People in a meeting setting paying attention,,"lean forward. 
"
12537,A meeting of young people,,"A meeting of young people buzzed with energy and ideas. 
"
12538,A woman in a red shirt is speaking at a table,,"with a microphone in front of her. 
"
12539,A woman talks to two other women and a man,,"at the coffee shop. 
"
12540,A man holds a clipboard and a,,"pen. 
"
12541,A man with a bright green shirt is,,"walking down the street. 
"
12542,A man in a green shirt holds out,,"a bouquet of lilies. 
"
12543,A man in a bright green shirt shows a woman,,"a bouquet of sunflowers. 
"
12544,A man on a street in a bright t-shirt holds some sort,,"of protest sign. 
"
12545,A child with a yellow cup,,"sits on the porch steps. 
"
12546,Two barefoot men are playing on a green lawn,,"under a bright summer sky. 
"
12547,Small laughing child with blond-hair sitting at,,"a picnic table. 
"
12548,A little boy drinks milk and gets,,"stronger. 
"
12549,Two pre-teen girls listening to music,,"giggled and sang along to the catchy lyrics. 
"
12550,A man is running behind a,,"bus. 
"
12551,A man dressed in warm clothing sleds,,"down a snow-covered hill. 
"
12552,A cowboy Roping a,,"calf 
"
12553,A man wearing a blue shirt screaming or yelling,,"...ran down the street. 
"
12554,"Four people near a body of water, one sitting and",,"three standing, are fishing. 
"
12555,Two little girls lie on the carpet next,,"to each other, whispering secrets. 
"
12556,People are fishing and walking,,"along the pier. 
"
12557,Two guys playing football,,"caught the attention of the cheering crowd. 
"
12558,Asian school children sitting,,"cross-legged on the floor. 
"
12559,A man wearing a red sweater is sitting,,"on a park bench. 
"
12560,A young woman frolicking on the lawn,,"looked carefree and happy. 
"
12561,a man wearing a multicolored striped shirt,,"walked into the bakery. 
"
12562,A man wearing a colorful and striped,,"scarf whistled a jaunty tune. 
"
12563,A man wearing a multi-color coat is,,"walking down the street. 
"
12564,Street performer in colorful shirt,,"juggles flaming torches for an enthralled crowd. 
"
12565,Two men are painting a building while a,,"woman watches from her window. 
"
12566,Two men are on scaffolding as they paint above a storefront while a,,"woman walks her dog below. 
"
12567,A blue excavator digging a,,"trench. 
"
12568,A man with khaki shorts on is holding a little girls,,"hand. 
"
12569,Two women are walking down a dirt,,"road. 
"
12570,A street vendor in Asia tries,,"to sell you delicious, mysterious food. 
"
12571,Young woman in a,,"flowing red dress. 
"
12572,A woman and a girl are,,"related. 
"
12573,two small girls walk,,"hand-in-hand to school. 
"
12574,"A girl wearing a blue shirt, shorts, and sneakers is seated",,"on a park bench. 
"
12575,Young lady dressed in black shorts and light blue shirt sitting outside at a public,,"park bench, enjoying the afternoon sunshine. 
"
12576,A woman sitting at a,,"bus stop. 
"
12577,A woman in a blue shirt is sitting,,"on a park bench. 
"
12578,"A boy in a blue, yellow, and orange",,"striped shirt smiled. 
"
12579,The boy in the blue and yellow,,"striped shirt smiled. 
"
12580,"A boy in a blue, yellow,",,"and green striped shirt smiled brightly. 
"
12581,A child with a brightly,,"colored balloon skipped down the sidewalk. 
"
12582,A boy looks down and,,"sees a ladybug on his shoe. 
"
12583,A man wearing a gray sweater,,"sat on the park bench. 
"
12584,A lady wearing a blue print shirt and,,"white pants walked her dog. 
"
12585,The man wearing lots of medals is watching,,"the parade with pride. 
"
12586,A woman wearing a green headscarf laughs while,,"holding a squirming puppy. 
"
12587,Young people playing with a long,,"rope. 
"
12588,A group of children play jump rope in,,"the park. 
"
12589,Hispanic woman wearing a red plaid shirt,,"Hispanic woman wearing a red plaid shirt smiled brightly at the camera. 
"
12590,A group of young girls playing,,"hopscotch on the sidewalk. 
"
12591,A man in a tan suit is using,,"a silver fountain pen to sign a contract. 
"
12592,A large golden dog sniffing the,,"air excitedly. 
"
12593,A sumo wrestler with a brown belt,,"does not exist. 
"
12594,Two large dogs greet other,,"dogs with playful barks. 
"
12595,Woman with green sweater,,"smiled at the barista. 
"
12596,A woman with dark hair,,"sat at the piano. 
"
12597,A smiling lady in a green,,"dress. 
"
12598,A woman in a green jacket and,,"sunglasses hailed a taxi. 
"
12599,A lady with sunglasses on her head,,"pushed her grocery cart down the aisle. 
"
12600,A climber is making his,,"ascent. 
"
12601,A man dressed in snow-gear takes,,"a selfie with a polar bear cub. 
"
12602,a lone person jumping through the air,,"a lone person jumping through the air, silhouetted against the setting sun. 
"
12603,A man in shorts and a white garment stands,,"silently on the crowded train platform. 
"
12604,A man doing tricks,,"with a deck of cards drew a large crowd. 
"
12605,Two Asian people sit at a,,"table. 
"
12606,A soccer player jumping in,,"mid-air. 
"
12607,A shot-on-goal action photo of soccer,,"captures the intensity and athleticism of the beautiful game. 
"
12608,The red team knocked the ball toward the goal,,"with all their might. 
"
12609,Six soccer players on field with player in,,"possession of the ball. 
"
12610,Two little kids showing their American,,"flags at a parade. 
"
12611,An elderly couple dances next to a table where,,"a single candle flickers. 
"
12612,A small girl stands,,"at the edge of the forest. 
"
12613,An elderly couple dance in front of a juke box,,", their love song echoing through the years. 
"
12614,"An elderly couple, both wearing white shirts, dancing",,"An elderly couple, both wearing white shirts, dancing, **floated across the floor like swans on a still pond.** 
"
12615,A child stoops to pick up a,,"shiny penny. 
"
12616,A small girl dressed in a yellow dress with flowers,,"skipped through the park, chasing butterflies. 
"
12617,A little girl picking up,,"seashells on the beach. 
"
12618,a young girl in a,,"flower crown. 
"
12619,Children playing a game,,"Children playing a game ran through the park, their laughter echoing in the air. 
"
12620,A seated woman with short hair and a,,"bright smile. 
"
12621,Asian city scene of people in street,,"teems with life and vibrant energy. 
"
12622,A man is painting a portrait of an outside scene that,,"includes a mischievous squirrel eyeing his lunch. 
"
12623,An older man stands on,,"a weathered pier. 
"
12624,"A crowded street, in an Asian country, where",,"A crowded street, in an Asian country, where food stalls sizzled with unfamiliar delicacies. 
"
12625,A small boy has gotten into the cabinet,,"and is covered in flour. 
"
12626,A male painting a scene,,"A male painting a scene of a bustling city street. 
"
12627,A picture of a city with a,,"towering skyline. 
"
12628,Overlooking a street with a sign above,,"that read ""Rue de Rêves."" 
"
12629,There are cars driving down a street,,"in both directions. 
"
12630,A main street scene of a small town with,,"A main street scene of a small town with **faded brick buildings and a single stoplight blinking yellow**. 
"
12631,Little Girl in brown shirt and blue,,"jeans. 
"
12632,A young man is performing a jump on a,,"skateboard. 
"
12633,A young girl dancing in her socks on,,"a polished wooden floor. 
"
12634,Child with pink strings on head,,"...giggled as the wind made them dance. 
"
12635,"A good-looking firefighter sets up ""Do",,"Not Pick Up"" signs near the fire hydrant. 
"
12636,A fireman protects an area by setting,,"A fireman protects an area by setting **backfires**. 
"
12637,The blond girl is,,"reading a book. 
"
12638,Two people standing in front of a large statue of,,"an angel, wings outstretched as if in blessing. 
"
12639,a man with a white covering is,,"a baker. 
"
12640,A family between a,,"A family between a rock and a hard place. 
"
12641,A woman talking to,,"her dog. 
"
12642,A woman and a few children in an,,"overcrowded lifeboat. 
"
12643,A woman in a floral dress talks,,"to the barista about her day. 
"
12644,Two men with heads,,"of lettuce. 
"
12645,A man and a woman having an,,"argument. 
"
12646,A man in a Tour De Force,,"of endurance, crossed the finish line. 
"
12647,A young toddler wearing pink sandals,,"toddled across the playground. 
"
12648,Mothers with children talking,,"Mothers with children talking **filled the park with laughter and chatter.** 
"
12649,Two women are talking while children,,"Two women are talking while children play nearby. 
"
12650,"Two women, each embracing a little girl,",,
12651,Two women holding children,,"walked into the park. 
"
12652,"Two women, each with a",,"basket of apples, argued in the market. 
"
12653,A black-and-white dog carries a stick in his,,"mouth. 
"
12654,A black and white dog with a,,"wagging tail. 
"
12655,A pirate is chasing a,,"treasure map. 
"
12656,A dog is fetching a stick,,"in the park. 
"
12657,A dog in the water carries,,"its tail higher. 
"
12658,Two children are running down,,"the hill. 
"
12659,1 little boy wearing a pirate costume following closely behind a little girl wearing,,"a fairy princess costume. 
"
12660,A little boy in a pirate costume is running behind a little,,"girl in a fairy costume. 
"
12661,A man with a gray shirt holds,,"a bouquet of sunflowers. 
"
12662,"Two girls, each in",,"Two girls, each in **matching dresses, giggled**. 
"
12663,A group of people are sitting around,,"a campfire. 
"
12664,People in line for,,"coffee groaned as the fire alarm blared. 
"
12665,Several men sit outside on brick,,"steps. 
"
12666,Workers are eating a meal while one,,"...tells a funny story about their weekend. 
"
12667,Workers are taking a,,"lunch break. 
"
12668,Workers are sitting next to,,"each other. 
"
12669,Biker riding dirt bike,,"through the muddy trails. 
"
12670,A motorcycle racer is in,,"the lead. 
"
12671,A blond woman with her hair up,,"sat at the piano. 
"
12672,A person is a red hat and,,"a feather boa. 
"
12673,"A man is sitting with his head facing down,",,"lost in thought. 
"
12674,Small blond-haired girl drinking,,"Small blond-haired girl drinking lemonade from a tall glass. 
"
12675,A person in a red coat and,,"black boots walked quickly down the street. 
"
12676,a woman in a red jacket watches as a black,,"cat naps on a sunny windowsill. 
"
12677,"Outside by the trees, a woman wearing jeans and red",,"boots stood waiting. 
"
12678,A dog is preparing to run away,,"with a stolen sock in its mouth. 
"
12679,A woman in a black and orange jacket throws a,,"football. 
"
12680,Two men trying to build,,"a house. 
"
12681,Three people are sitting,,"on a park bench. 
"
12682,Two women and one man,,"can form a powerful team. 
"
12683,A man and two women,,"were sitting on a bench. 
"
12684,A man and two women in black jackets,,"walked into the bank. 
"
12685,man in red canada shirt standing,,"...on the bustling city street hailed a taxi. 
"
12686,A woman checks her purse,,"for her keys. 
"
12687,The cowboy waves to,,"the saloon singer. 
"
12688,A woman is sitting at,,"a piano. 
"
12689,Lady wearing a yellow top,,"...smiled brightly at the passing children. 
"
12690,a child is pushing another kid in a wheeler,,"across the playground. 
"
12691,A cowboy is riding a bucking,,"bronco. 
"
12692,A blond child is pulling a wagon,,"filled with colorful toys. 
"
12693,A man wearing a tan coat signs papers,,"at a weathered wooden desk. 
"
12694,A groom and a bride are standing on,,"an altar. 
"
12695,A man is singing,,"a love song. 
"
12696,a girl wearing a blue and pink,,"dress. 
"
12697,"A man and a woman being intimate,",,"share a moment of vulnerability and connection. 
"
12698,A group of people stand,,"in a circle. 
"
12699,An elderly woman places,,"a worn, leather-bound photo album on the table. 
"
12700,Three men are grouped around the back of a car with its tailgate,,"open, peering into a cooler filled with ice and drinks. 
"
12701,"Three men, two wearing yellow suits, are",,"walking down the street. 
"
12702,Emergency personnel looking into the,,"burning building saw the silhouette of a person in the window. 
"
12703,A man in a kitchen is frying,,"bacon. 
"
12704,A woman in colorful garb with her back,,"to the bustling marketplace. 
"
12705,A woman in colorful native attire featuring a blue shirt with,,"embroidered flowers and a flowing red skirt danced gracefully. 
"
12706,Oddly dressed man walking,,"down the street. 
"
12707,A man in ruffles pushes,,"a cart of melting sorbet. 
"
12708,An oddly dressed man pushing a stroller,,"walked into the bank. 
"
12709,a young man wearing a backpack and,,"sunglasses walked briskly down the street. 
"
12710,A young man wearing a backpack and dark glasses approaches the brick,,"wall, his shadow stretching long in the fading light. 
"
12711,A brown dog running with two white and brown,,"...spotted puppies. 
"
12712,A young man in blue sunglasses walking,,"down the beach, whistling a tune. 
"
12713,Black dog jumping into the air to,,"catch a frisbee. 
"
12714,A black dog in snow is jumping,,"over a fence. 
"
12715,A person is hanging up pictures of women,,"on their bedroom wall. 
"
12716,"Five men, one wearing a white shirt standing on",,"a busy street corner. 
"
12717,There are four Eastern guys working,,"at the software company. 
"
12718,A man in a white shirt hangs a painting,,"on a freshly painted wall. 
"
12719,"Men are playing soccer, the one in",,"the blue jersey just scored! 
"
12720,A man is putting up a,,"fence. 
"
12721,The Arsenal football club warms-up on the,,"pitch. 
"
12722,Soccer players warm up by kicking the,,"ball. 
"
12723,People sit and relax next to,,"a crackling fireplace. 
"
12724,"In a bowling alley, a man holding a green bowling ball",,"approached the foul line. 
"
12725,A man wearing blue jeans and red bowling shoes stands in,,"a crowded bowling alley. 
"
12726,A guy stands with a green bowling ball in,,"his hand. 
"
12727,A man holding a green bowling ball stands by,,"the ball return. 
"
12728,A man is standing up holding a,,"briefcase. 
"
12729,A group of adults is having a,,"picnic. 
"
12730,A group of people gathers on the grass in,,"Central Park. 
"
12731,One soccer team is,,"playing against another. 
"
12732,A black dog swimming,,"disappears in the shadows. 
"
12733,the three boys are all holding onto,,"the same rope. 
"
12734,A soccer game where the team in yellow is attempting to advance past the,,"blue team's defense. 
"
12735,A group of people are playing soccer and two,,"players collide. 
"
12736,A soccer match between a team with white,,"jerseys and a team with blue jerseys. 
"
12737,People relax around a large,,"bonfire. 
"
12738,A woman playing the violin,,"with passion filled the concert hall with emotion. 
"
12739,A female violinist surrounded,,"by adoring fans. 
"
12740,"A man, wearing revolutionary period",,"clothing, stood on the steps of the courthouse. 
"
12741,A couple of people working,,"together. 
"
12742,A man wearing a gray,,"suit stood on the corner. 
"
12743,An older man dressed in blue historical clothing,,"stood proudly beside the antique cannon. 
"
12744,Three young children consisting of two girls and a boy who is holding an apple,,"are playing in the park. 
"
12745,"two little girls, one in a green jacket and one in a pink jacket, and",,"a small boy wearing a blue cap. 
"
12746,An old man wearing khaki pants and a brown shirt,,"sat on the park bench feeding the pigeons. 
"
12747,A man in costume,,"walked down the street. 
"
12748,two female medical personnel,,"two female medical personnel chatted quietly between patient rounds. 
"
12749,A person in an orange shirt is laying on,,"a beach towel. 
"
12750,Two men stand around,,"a campfire. 
"
12751,Five people on stage performing and,,"singing in harmony. 
"
12752,Four people are acting behind a woman in,,"a single-file line. 
"
12753,Two men cook together with a,,"shared passion. 
"
12754,a woman on a yellow,,"bicycle 
"
12755,Two men share a laugh,,"over a spilled beer. 
"
12756,Two men are cooking in,,"the kitchen. 
"
12757,A kite surfer begins to,,"harness the wind. 
"
12758,A windsurfer is balancing,,"on a board. 
"
12759,A man parasails in,,"the sky. 
"
12760,A woman in a white dress with a tiara sings in,,"a grand concert hall. 
"
12761,A little kid enjoying some,,"A little kid enjoying some **chocolate cake**. 
"
12762,A person is looking,,"out the window. 
"
12763,Two people enjoying a,,"picnic basket in the park. 
"
12764,A boy in a red and,,"blue striped shirt. 
"
12765,Child in red and blue,,"striped pajamas. 
"
12766,Two people are next to a fountain with,,"coins scattered at their feet. 
"
12767,An expectant woman happily lets another listen,,"to her baby's heartbeat. 
"
12768,Soccer players on a,,"field. 
"
12769,Busy ChinaTown street corner where people are,,"haggling over souvenirs and fresh produce. 
"
12770,A girl wearing a dress is,,"beautiful. 
"
12771,A man wearing a blue shirt is sitting,,"on a park bench. 
"
12772,A child in formal clothing is walking along the edge,,"of a sparkling fountain. 
"
12773,A young boy wearing a light blue,,"shirt skipped down the sidewalk. 
"
12774,A young boy with a blue coat makes a,,"snow angel. 
"
12775,A little boy with a blue jacket is,,"playing in the park. 
"
12776,People in a truck-full of sacks,,"bounced along the dusty road. 
"
12777,Three construction workers posing,,"for a photo. 
"
12778,Three people stand proudly by a truck,,"filled with their belongings, ready for a new adventure. 
"
12779,Three working men smile in front of,,"a newly built house. 
"
12780,Three men are smiling and posing behind,,"a bar. 
"
12781,A view of a marketplace full,,"of bustling shoppers and colorful stalls. 
"
12782,A woman in blue jeans and a dark,,"turtleneck walked by. 
"
12783,The surfer catches a big wave,,"and rides it toward the shore. 
"
12784,The dogs run and play,,"in the park. 
"
12785,A white dog running,,"through the snow. 
"
12786,Gray dog running down pavement,,"Gray dog running down pavement disappeared around the corner. 
"
12787,A dog is chasing a,,"ball. 
"
12788,An older couple posing in front,,"of a vintage car. 
"
12789,Older couple posing for a picture,,"on a cruise ship. 
"
12790,The parents of the younger male are posing for,,"a photograph. 
"
12791,A man and woman watching two kids,,"play in the park. 
"
12792,A couple pose in,,"front of the Eiffel Tower. 
"
12793,a brown dog is jumping up at a,,"frisbee 
"
12794,One dog is jumping at the,,"fence. 
"
12795,A golden retriever is excitedly greeting a woman,,"with a wagging tail and happy barks. 
"
12796,Two children are building,,"a sandcastle. 
"
12797,Children playing with or,,"Children playing with or near fire. 
"
12798,Young children outside playing with,,"bubbles. 
"
12799,Two dogs are playing and,,"chasing each other's tails. 
"
12800,Two dogs are playing together on,,"a sunny afternoon. 
"
12801,A scuba diver stands on top of,,"a coral reef. 
"
12802,3 safety jacket clad Construction workers appear to,,"be discussing blueprints. 
"
12803,Three male construction workers are examining something in,,"a ditch. 
"
12804,Three male workers in bright jackets are,,"unloading boxes from a truck. 
"
12805,People with safety vests stand,,"guard. 
"
12806,A man in the,,"shadows. 
"
12807,"Two people heavily dressed, carrying",,"snowshoes and a thermos. 
"
12808,A silver car with all,,"A silver car with all its windows tinted black. 
"
12809,Two people walk along the,,"beach. 
"
12810,"Two people, with buildings behind them, are standing",,"in the street. 
"
12811,People in a city gathered,,"for the annual summer festival. 
"
12812,A light blue car stopped outside,,"the bakery. 
"
12813,Woman in white dress holds dove,,"in her outstretched hand. 
"
12814,A blond woman in a white dress sits in,,"a wicker chair on the veranda. 
"
12815,a blond girl in a white dress,,"a blond girl in a white dress skipped through the meadow. 
"
12816,A woman is holding a bird,,"in her hands. 
"
12817,two people working in,,"tandem. 
"
12818,Two people are planting small,,"trees in the garden. 
"
12819,"a woman walking in front of an outdoor mural,",,"a woman walking in front of an outdoor mural, her shadow stretching long in the afternoon sun. 
"
12820,A woman dressed in a white,,"gown walked silently through the graveyard. 
"
12821,Woman walking by a mural,,"admired the artist's vibrant colors. 
"
12822,This wall has a picture,,"hanging on it. 
"
12823,A woman is a red,,"flag. 
"
12824,Two men riding on a,,"motorcycle. 
"
12825,"A man sits on a deck,",,"watching the sun set over the ocean. 
"
12826,The man is sitting on a,,"bench. 
"
12827,Someone in a yellow hat is,,"walking towards me. 
"
12828,A man sits on the edge of a,,"cliff. 
"
12829,Young men and women gather outside,,"the concert hall. 
"
12830,People on the roof of a building,,"watched the fireworks display. 
"
12831,Several people watching a scene on the,,"street corner gasped. 
"
12832,A group of people gathered around a brick building,,"with boarded-up windows. 
"
12833,A man playing the,,"trumpet. 
"
12834,A young man in black glasses and a,,"fedora walked by. 
"
12835,a young man playing an electric guitar while,,"wearing a leather jacket. 
"
12836,The guy in a striped shirt,,"walked briskly to the coffee shop. 
"
12837,Two men playing instruments for money while,,"a crowd gathers. 
"
12838,"Two men, playing a soprano saxophone and guitar play music",,"on a street corner. 
"
12839,A lady standing on the,,"street corner. 
"
12840,A girl photographs street,,"art. 
"
12841,A person aquestrian horse jumping,,"competes in equestrian horse jumping. 
"
12842,A woman wearing a black top and red,,"skirt. 
"
12843,Several people read by,,"the fire. 
"
12844,A large black and white dog,,"ran across the field. 
"
12845,A black and white,,"photograph. 
"
12846,A woman helps boys,,"cross the street. 
"
12847,A woman in a butchers shop leans over a,,"glass counter. 
"
12848,A woman with thinning hair is,,"experiencing hair loss. 
"
12849,A woman is handling meat from a clear glass meat cage while,,"wearing a white apron and hairnet. 
"
12850,A room full of children raise their,,"voices. 
"
12851,A woman walks past a fountain,,"and adjusts her scarf against the cool mist. 
"
12852,An African American man in a suit,,"walks confidently into the courtroom. 
"
12853,A man is browsing things,,"in a bookstore. 
"
12854,A man on a high ladder is,,"vulnerable. 
"
12855,Repairing a house in the hot sun,,"is exhausting work. 
"
12856,A man in khaki pants and a light shirt and,,"a straw hat strolled along the beach. 
"
12857,Children getting temporary tattoos,,"Children getting temporary tattoos is a common sight at carnivals and festivals. 
"
12858,A little boy with blue jeans runs,,"through the park. 
"
12859,A young boy in a blue shirt is,,"playing with a red ball. 
"
12860,"A young child with blond-hair, wearing a blue",,"dress, skipped happily towards the park. 
"
12861,A small child in blue shirt and blue jeans,,"skipped through the park, chasing pigeons. 
"
12862,a small child in a pink,,"dress. 
"
12863,A crew gets ready at the,,"starting line. 
"
12864,Men standing at the edge of a,,"cliff. 
"
12865,commentators and broadcasters at there both,,"...local and national levels. 
"
12866,Three basketball commentators are talking,,"about the game-winning shot. 
"
12867,Reporters or commentators at a sporting event are,,"broadcasters. 
"
12868,"Two women attempt to blow out the candles of a multicolored, multi-tiered",,"birthday cake. 
"
12869,A girl touches the,,"grass. 
"
12870,A little girl dressed in,,"a pink tutu and sparkly shoes. 
"
12871,A young girl in,,"a blue dress skipped through the park. 
"
12872,A young Asian girl wearing a pink,,"dress. 
"
12873,A man poses in mid jump beside a left turn road sign and a,,"broken down car. 
"
12874,The little girl is,,"playing hopscotch. 
"
12875,A man jumping up in the snow,,"leaves deep footprints. 
"
12876,A young boy paddling in a body of water,,"splashed playfully, chasing after a bright orange dragonfly. 
"
12877,A nurse treating a,,"A nurse treating a patient with a fractured femur. 
"
12878,A smiling young girl sitting at a table,,"is coloring a picture. 
"
12879,Three men sit together while,,"playing cards. 
"
12880,A nurse monitors a young child,,"for signs of improvement. 
"
12881,The little girl in the blue,,"dress skipped happily. 
"
12882,The nurse smiles as she gently rubs,,"the baby's back. 
"
12883,A little girl with a backpack,,"skipped down the sidewalk. 
"
12884,"A baseball player holds his bat, while the catcher",,"crouches behind home plate. 
"
12885,A baseball player getting,,"a home run. 
"
12886,A man in a red and,,"black checkered shirt. 
"
12887,A baseball player is,,"an athlete. 
"
12888,A lone boat sitting,,"on the glassy surface of the lake. 
"
12889,A girl in a pink tank top and green,,"shorts walked her dog. 
"
12890,Four ice skaters racing,,"across the glistening ice. 
"
12891,Two men talk at a crowded,,"bar. 
"
12892,Four skaters are competing in a high speed,,"race. 
"
12893,Four athletes from two different teams are competing,,"in the final round. 
"
12894,Four people turn a corner,,"and bump into a street performer juggling knives. 
"
12895,Four women participating in,,"Four women participating in a charity bike race. 
"
12896,A team of soccer players in white strips,,"charged down the field. 
"
12897,An older man in jeans and a sweater is lifting,,"a heavy potted plant. 
"
12898,An older man places a wooden crate on,,"a rickety hand truck. 
"
12899,Man in sweater stacks wooden crates,,"Man in sweater stacks wooden crates **efficiently, creating a towering display.** 
"
12900,Man stacking wooden crates on,,"a forklift. 
"
12901,An elderly male is,,"more susceptible to certain health conditions. 
"
12902,A girl in a green sweatshirt sitting down and,,"reading a book. 
"
12903,A girl is on a stool while another,,"girl braids her hair. 
"
12904,Two men in baseball hats and bright,,"Hawaiian shirts strolled down the beach. 
"
12905,Two men wearing bright green shirts are,,"walking towards the park. 
"
12906,Two workers in neon green,,"vests directed traffic around the pothole. 
"
12907,Men wearing lime green shirts work,,"at the golf course. 
"
12908,A man with a drink cup,,"sat on the park bench. 
"
12909,An older man with a,,"twinkling eye winked mischievously. 
"
12910,One person holds a giant snowball over two,,"unsuspecting friends. 
"
12911,A man holding a large chunk of,,"ice shivered in the summer heat. 
"
12912,Two friends await their demise as a man with a giant snowball,,"looms over them. 
"
