index,text,response,qwen72b
11608,Three people in uniform are outdoors and are observing,,the scene carefully.
11609,A man in a lab coat,,is carefully examining a sample under a microscope.
11610,A young boy in,,a red shirt is playing with a toy car on the sidewalk.
11611,A woman taking candy off of a,,store shelf.
11612,"Two performers, one man playing a guitar, and one woman with",,"a microphone, took the stage."
11613,Two teams of men are playing basketball,,"in a gymnasium, competing fiercely for the lead."
11614,A man in dark clothing,,walked silently through the shadows.
11615,A man is working in an art,,studio.
11616,"Two beautiful, little girls with dark hair and",,matching ribbons in their hair.
11617,A person dressed in black and red protective,,gear was seen riding a motorcycle down the street.
11618,The racing greyhounds have broken,,free from their starting gates.
11619,Two workers in work attire (windbreakers and vests),,"are standing near a construction site, discussing the day's tasks."
11620,an older man wearing a suit has his arms folded,,"and is standing by the window, looking out at the rain."
11621,"Two men are drumming, one is",,playing a snare drum while the other is hitting a bass drum.
11622,"A lady wearing a blue dress and earrings, is sitting at a table",,"A lady wearing a blue dress and earrings, is sitting at a table, sipping a cup of tea."
11623,"One man, wearing a blue shirt, standing on",,"a crowded street, looking at his phone."
11624,A person flying through the,,air feels a rush of wind and freedom.
11625,The brown and black dogs are carrying,,a large stick in their mouths.
11626,Two men renovate a,,house.
11627,Two men are fixing the side,,of the house.
11628,A brown dog sniffing at the,,ground.
11629,"A person sitting on the corner, wrapped in",,"a blanket, shivers slightly as the cold wind blows."
11630,A man on stilts is performing,,a balancing act.
11631,Three people are making transactions,,at the bank counter.
11632,A young redheaded woman,,with freckles and a bright smile walked into the room.
11633,A man and women sleeping,,A man and woman are sleeping.
11634,A young boy gets his,,first bike for his birthday.
11635,A man is wearing protective,,gear.
11636,One lady is looking at a blue box while the shorter lady,,is examining a red bag.
11637,"Two young men are on a vast, level expanse of grass, and",,they are about to start a game of soccer.
11638,A group of people cleaning,,A group of people cleaning the park.
11639,Seven men are preparing,,for the journey ahead.
11640,A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing,,the ball to his teammate during the soccer game.
11641,Passengers in a rusty yellow,,minivan waved as they drove by.
11642,The basketball player in red is challenging,,the shot of the player in blue.
11643,A man in a white,,shirt walked into the room.
11644,A woman wears a robe and bikini with heels as,,she walks along the beach.
11645,A dog opens its mouth to,,yawn.
11646,A white dog next,,to a brown cat.
11647,A man is throwing a small,,rock into the lake.
11648,Person walking down lighted,,street.
11649,A young child climbing a stack of logs,,A young child climbing a stack of logs is taking a risk but also exploring their physical abilities.
11650,a big black dog jumps in the air,,to catch a frisbee.
11651,A man in a strange uniform taking a,,selfie.
11652,A little girl in a pink hat is,,playing with her dolls in the garden.
11653,A surfer is performing a,,trick on the wave.
11654,A man is celebrating his victory while smiling and,,waving to the crowd.
11655,A man wearing a white button down,,shirt and a pair of blue jeans walked into the room.
11656,A young Asian woman wearing a blue shirt and blue jeans sits on,,"a park bench, reading a book."
11657,A blond woman in a blue,,dress walked down the street.
11658,A male sitting down enjoy his,,A male sitting down enjoys his meal.
11659,A man is wearing a blue and,,white striped shirt.
11660,A happy woman who,,A happy woman who
11661,A boy pushing a girl,,A boy pushing a girl on a swing.
11662,The man in the black hat has,,a mysterious aura about him.
11663,A man wearing a black sweater and a knit cap sits,,"on a bench in the park, his eyes closed, enjoying the warmth of the sun on his face."
11664,A bearded man wears a roughly sewn,,robe.
11665,"A guy with a football,",,"a girl with a basketball,"
11666,"Two girls walking, both with a",,"Two girls walking, both with a smile on their faces."
11667,A lone bike rider navigating a rough terrain course through dirt with,,"jagged rocks and deep ruts, testing their skills and endurance."
11668,A man with a red beard and mustache is smiling and,,waving at the camera.
11669,Two women are hugging on a path through a,,wooded area.
11670,"Two African American men laughing with aprons on, while a third",,African American man in the background smiles and holds a tray of food.
11671,Basketball referee watching a team,,Basketball referee watching a team play on the court.
11672,a group of skiers jumping down slopes,,a group of skiers jumping down slopes with grace and speed.
11673,Four human figures are,,standing in a row.
11674,Seven young girls are being,,taught how to dance.
11675,A man waiting in an airport terminal writes on,,a piece of paper.
11676,A teen is standing in a field and is,,about to kick a soccer ball.
11677,A man and women walking down the street holding bags in,,their hands.
11678,A young boy sits curiously on a rock,,"A young boy sits curiously on a rock, watching the river flow beneath him."
11679,The basketball is in the hands of the guy with the red shirts,,The basketball is in the hands of the guy with the red shirt.
11680,Three men stand on a,,"dock, watching the sunset over the water."
11681,A young woman wearing a white sleeveless dress with red flowers,,"walks gracefully through a vibrant garden, her bare arms glistening in the sunlight."
11682,A black women holding a sign that,,"reads ""Black Lives Matter"" at a protest."
11683,A boy runs as others play,,in the park.
11684,A blond headed child in yellow boots and yellow jacket vest,,is playing in the park.
11685,Some youngsters are playing,,in the park.
11686,A woman in a white tennis outfit,,"serves the ball with precision, her eyes focused on the game."
11687,four children are dancing around a,,maypole.
11688,Little kids play a game,,called hide and seek.
11689,a group of construction workers,,were finishing up the last few details on the new skyscraper.
11690,A man on a skateboard performs a trick in the,,air.
11691,Spectators look on as a baseball player runs onto a,,field.
11692,A grim looking man with,,"a weathered face and piercing eyes stood at the doorway, his presence commanding attention."
11693,Workers at Basking Robbins,,enjoy creating delicious ice cream treats for their customers.
11694,A man with a duffel bag and girl,,A man with a duffel bag and a girl walked down the street.
11695,A man wearing a brown,,coat walked down the street.
11696,A woman in a white dress with a white umbrellas,,walks gracefully down the rain-soaked street.
11697,A woman in black walks past a shop selling,,colorful flowers.
11698,A couple of newlyweds kissing,,A couple of newlyweds kissing passionately at their wedding reception.
11699,A white man in a blue uniform is pushing away a black man,,A white man in a blue uniform is pushing away a black man.
11700,A woman is taking a picture on the,,beach.
11701,A group in uniform marches carrying red,,flags.
11702,"It's another day of celebration, with a parade",,marching down the main street.
11703,A woman drives a bike wearing a white blouse,,and black pants.
11704,Two dancers in pink tops and striped,,bottoms twirled gracefully across the stage.
11705,A man sits on a couch beside a,,woman.
11706,A few women and children,,were playing in the park.
11707,A group of young people pose,,for a photo.
11708,Two men stand in the center of,,"the room, facing each other."
11709,A little boy with a red baseball cap is on,,a swing at the playground.
11710,A young boy in a straw hat,,"sat under the old oak tree, watching the clouds drift by."
11711,A man in a leaf-patterned short stand,,A man in a leaf-patterned shirt stands
11712,"A man is outdoors looking directly at the camera,",,wearing a wide-brimmed hat and sunglasses.
11713,A boy wearing a yellow shirt and blue pants,,is playing soccer in the park.
11714,A boy looks on at an electric device with,,a look of curiosity.
11715,A boy in a green shirt is,,playing with a toy car.
11716,A man with a beard sitting,,A man with a beard sitting on a park bench.
11717,People sitting in a,,People sitting in a circle discussed their plans for the upcoming project.
11718,There are two young ladies,,sitting on a bench in the park.
11719,A young boy in green practices,,his soccer skills on the field.
11720,The man walks among,,the shadows.
11721,A runner in yellow has a convoy of motorcycles,,A runner in yellow has a convoy of motorcycles following closely behind.
11722,A person in blue is the only person,,in the room wearing that color.
11723,A shoeshine man works as others,,A shoeshine man works as others walk by.
11724,A policeman is sitting in a,,car.
11725,"Man seated in a uniform that says ""Polizes"" on the shoulder looking out a",,window.
11726,Three military officials are battling,,for control of the strategic outpost.
11727,A black-haired man is entertaining a,,crowd with his guitar and vocals.
11728,A man with thinning hair,,A man with thinning hair often feels self-conscious about his appearance.
11729,Painter re-creates old works of,,art.
11730,An artist replicating another artist's work and,,selling it as their own is considered plagiarism.
11731,"A senior citizen wearing a hat, blue button up shirt, Khaki shorts",,and brown loafers was taking a leisurely stroll in the park.
11732,"A group of men in blue shirts, banded",,together to support their favorite sports team.
11733,Four children are wearing blue,,Four children are wearing blue shirts.
11734,A construction worker stands in front of a red,,A construction worker stands in front of a red bulldozer.
11735,A child with curly blond-hair looks at another child,,with straight brown hair.
11736,A runner in a black and,,white striped jersey sprinted past the cheering crowd.
11737,A person with a striped tube standing in,,"a colorful carnival booth, selling balloons to excited children."
11738,A young female standing on the deck of a boat,,"gazing out at the horizon as the sun sets, her hair gently blowing in the breeze."
11739,A black scientist looks through a scope,,and makes a groundbreaking discovery.
11740,Some people are relaxing in front,,of the fireplace.
11741,A woman lying in the grass in the park is wearing,,a flowy sundress.
11742,A young boy dressed in black and green is laying,,"on the grass, staring up at the sky."
11743,A man with brown pants,,is walking down the street.
11744,Small girl in an apron placing,,a cake on the kitchen counter.
11745,"A man in a blue shirt, blue jeans,",,and a pair of black shoes walked down the street.
11746,A man pointing into the ear wearing a striped,,shirt and a confused expression on his face.
11747,A dusty boy runs along a,,rural dirt road.
11748,A firefighter climbs up a ladder,,to rescue a cat from a tree.
11749,Two men in suits standing in front of,,a large building.
11750,The man in colorful,,clothes danced joyfully.
11751,Rider in ceremonial garb rides white Arabian,,horse in parade.
11752,A woman in black is,,walking down the street.
11753,A small dog runs,,across the grass.
11754,An accordion player with a bright colored shirt sitting outside in a,,"park, entertaining passersby with lively music."
11755,Bespectacled man in suit opens wallet while a,,woman in a red dress watches him intently.
11756,Men sitting at a,,table are discussing business.
11757,Man in robe making,,tea.
11758,A man with a blue and white backpack and black jeans and,,a red shirt is walking down the street.
11759,A man with a gray beard and a little boy are sitting on,,a bench in the park.
11760,A woman is carrying two children in,,a sling.
11761,A white dog with brown spots,,is playing in the park.
11762,A red-haired woman in a pink,,dress walked down the street.
11763,An Indian woman is,,"an Indian woman is a female individual who is a citizen or resident of India, or of Indian descent."
11764,Man sitting on bench with suitcase,,"Man sitting on bench with suitcase, waiting for the train."
11765,A yellow backhoe near a large pile of dirt and rocks,,is preparing to excavate the area.
11766,A woman in a gray,,coat walked down the street.
11767,Someone in green pants is on,,the grass.
11768,A man wearing a jacket is listening to headphones,,while walking down the street.
11769,Tan dog running through long,,grass.
11770,A man in gray on a,,A man in gray on a street corner.
11771,Three people are standing on a lit stage while,,the audience watches in silence.
11772,Six seated men converse and one,,stands to speak.
11773,A smiling girl walking and a,,boy running towards her.
11774,A short-haired man is jumping while,,holding a frisbee.
11775,A man in gray uniform is cutting something on the,,table.
11776,Children on the beach,,are building sandcastles and playing in the waves.
11777,A jubilant crowd dressed fabulously in purple red and,,gold celebrated the festival with immense joy and enthusiasm.
11778,Two people walking down a narrow alley,,"Two people walking down a narrow alley, their footsteps echoing off the brick walls."
11779,A woman in a red long-sleeved shirt and blue jeans stands,,"in front of a white picket fence, holding a basket of flowers."
11780,An older man in a light green shirt and dark green pants holds the,,"hand of a younger boy wearing a blue shirt and khaki shorts, walking along a path in a park."
11781,A dark-haired man wearing a black and white,,suit walked into the room.
11782,People boating on a lake with the,,mountains in the background.
11783,Two women are getting their pictures taken,,Two women are getting their pictures taken at a photo booth.
11784,A man in a blue jacket leans on a post and,,stares into the distance.
11785,Two women are relaxing,,"in a cozy café, sipping their drinks and chatting."
11786,A man in a navy blue shirt is tossing a boy,,in the air while laughing.
11787,"Phone to her ear, a woman bends forward",,to listen more intently.
11788,A woman is leaning down,,to pick up a dropped item.
11789,A soft focus picture of a,,"A soft focus picture of a serene landscape at dawn, with mist gently hovering over the tranquil waters and the first light of the sun casting a warm glow"
11790,The man in the blue shirt,,walked into the room.
11791,Three men are playing,,a game of cards.
11792,Five women wearing red shirts are,,standing in a line.
11793,A dark-haired lady with a big smile,,"walked into the room, her presence immediately brightening the atmosphere."
11794,A man wearing a brown shirt and backpack is pushing a stroller while,,walking down the street.
11795,Two men in hard hats,,are standing near a construction site.
11796,People standing in front of a gray building,,are waiting for the doors to open.
11797,A soccer player in white kicks a ball as another soccer player lunges,,A soccer player in white kicks a ball as another soccer player lunges to intercept it.
11798,A child sits in a,,playpen.
11799,Customers are ordering food,,at the restaurant.
11800,A mom and her boy are,,walking in the park.
11801,Two women bend over to,,pick up the dropped items.
11802,"A girl in a purple top, baggy pants and sneakers",,was jumping over a puddle on the sidewalk.
11803,An Asian man makes,,an intricate origami crane.
11804,A casually dressed young blond woman is looking,,at her phone while sitting on a park bench.
11805,A woman is holding a large,,bouquet of flowers.
11806,A male wearing a football uniform kicking,,a ball towards the goal.
11807,a young couple both wearing white shirts and,,blue jeans walked hand in hand through the park.
11808,The man in the white shirt,,walked across the street.
11809,a brown dog standing in the,,a brown dog standing in the grass.
11810,"A brown-haired woman in a blue shirt, wearing a bib number from a marathon,",,is walking down the street with a water bottle in her hand.
11811,Two lacrosse players are,,competing for the ball.
11812,A woman wearing a gray sweater stands,,"in front of the old brick building, her hands in her pockets."
11813,Man on phone in business suit,,looks professional while talking on his smartphone in a busy city street.
11814,Casually dressed young males and females are sitting and laying on a grassy,,"area, enjoying the sunny day."
11815,Three men are using Washington Mutual,,to manage their finances.
11816,A young woman is standing on a,,"cliff, looking out at the ocean."
11817,A girl in a red and,,white dress danced gracefully across the stage.
11818,A man crouches down,,to examine the intricate pattern of the mosaic on the floor.
11819,"A man wearing a purple cap, yellow snow goggles, a periwinkle jacket",,"and black ski pants stood at the edge of the slope, ready to descend."
11820,An elderly Man wearing a olive green shirt and,,khaki pants is walking with a cane.
11821,A young black man is,,walking down the street.
11822,A young boy is jumping,,A young boy is jumping over a puddle.
11823,"Four men and three women, all in their beach attire, hang around a small",,"beachside bonfire, enjoying the warmth of the fire and the cool ocean breeze."
11824,Five young indian girls dress in colorful dresses,,and dance joyfully in the sunshine.
11825,A young woman in white,,walked gracefully through the garden.
11826,two girls looking out the,,window.
11827,An American wrestler in a,,"red, white, and blue costume stepped into the ring."
11828,Dog with black and tan face standing,,in the grass.
11829,The woman in the white dress looks,,elegant and graceful.
11830,A man is socializing with,,friends at a bar.
11831,Girls dressed in red,,stood out in the crowd.
11832,"A female child in a white, long-sleeved shirt is kneeling",,"on the ground, looking intently at something in front of her."
11833,A young infant cries while having,,a diaper change.
11834,A crowd of people standing,,in the town square.
11835,A boy looks out the window at another,,boy playing in the rain.
11836,a man takes a picture of,,a woman smiling at the camera.
11837,A baby with a green bottom and red top lying in bed with,,a yellow blanket.
11838,A few young boys throwing a,,ball around in the park.
11839,An old man in a blue shirt and,,"a gray beard sat on the bench, watching the children play."
11840,A man dressed in all white and wearing a white,,hat stood out in the crowd.
11841,Two furry beige dogs,,are playing in the park.
11842,an african man is being dragged though wet,,mud by a group of people.
11843,Several children are standing,,in a line.
11844,A man with no shirt,,ran through the park.
11845,A brown dog wearing a collar is,,sitting on the grass.
11846,Two men in black pants and black shirts,,"are standing under a streetlight, talking quietly."
11847,"A man in a jacket is standing in a gas station,",,looking at the prices on the pump.
11848,An elderly lady holding a,,cane walked slowly across the room.
11849,A group of people sitting around tables with computer monitors,,are collaborating on a project.
11850,A bike is parked against a window to a store called Winter Sport where inside,,a man is arranging ski equipment on the shelves.
11851,Men wearing hats walk,,down the street.
11852,A few people are sitting inside of a,,"small cafe, sipping their drinks and chatting quietly."
11853,"A man wearing a black t-shirt that says ""Long Live the Dead"" pulls",,"a small, weathered photograph from his pocket, staring at it with a mix of longing and sorrow."
11854,A young male wearing a blue hat turned backwards,,was walking down the street.
11855,Three young women perform a,,traditional dance.
11856,A woman with a blue jacket around her waist is,,walking down the street.
11857,A group of people are standing on,,"a sidewalk, waiting for the bus."
11858,Brown and cream dog with tongue,,Brown and cream dog with tongue out panting.
11859,"A young boy, wearing a jesters",,"costume, was juggling colorful balls in the town square."
11860,A shirtless man with cropped hair smokes,,a cigarette on a deserted beach at sunset.
11861,A young man blew up balloons to craft into,,animal shapes for the children's party.
11862,An enthusiastic boy pushes a shopping,,"cart down the aisle, eager to help his mother with the groceries."
11863,Blond boy in striped shirt,,Blond boy in striped shirt plays with a toy car.
11864,"Boy in backpack crossing the street, Other people, all",,"Boy in backpack crossing the street, other people, all around him, seem to be in a hurry."
11865,"A woman is sitting outside at a table,",,enjoying a cup of coffee under the warm sun.
11866,A man flying out of a river,,"A man flying out of a river is a surreal sight, defying the laws of physics and nature."
11867,"Woman wearing dark brown leather jacket, sunglasses, brown leather boots, silver",," Woman wearing dark brown leather jacket, sunglasses, brown leather boots, silver necklace."
11868,There are two boats full of people in a,,lake.
11869,Three musicians are playing,,in a small jazz club.
11870,Two individuals dressed up like animals,,were performing at the children's party.
11871,Two men are making hand gestures,,at each other across the crowded room.
11872,A woman wearing a red work man's hat and,,a pair of blue jeans is operating a large construction vehicle.
11873,A man holds up a sign that reads,,"""Help, I'm lost!"""
11874,An elderly woman with a tan nun uniform on,,"was walking slowly down the street, her rosary beads clinking softly in her hand."
11875,A person throws a red toy,,into the air.
11876,Several people are playing an intense game of,,chess.
11877,"A man and a woman, both wearing sunglasses, embrace",,on a sunny beach.
11878,A man dressed only in a,,"loincloth stood by the river, his skin glistening in the sunlight."
11879,Repairing the roof of a,,house requires careful planning and skilled labor.
11880,A little girl in,,a red dress was playing with a toy car.
11881,Colorful rings spraying water at,,the children in the park.
11882,A blond-haired baby is sitting on the floor playing with,,a colorful toy.
11883,The dog is in the snow,,"The dog is in the snow, playing happily."
11884,A young boy is playing,,with his toy cars on the living room floor.
11885,An elderly firefighter in an orange suit is,,spraying water on a burning building.
11886,A child in a red coat waves a hand in the,,air.
11887,A woman in a gray sweater talking,,to a man in a blue jacket.
11888,"Two men, one in a red shirt and one in a",,"blue shirt, are arguing in the park."
11889,A boy at the beach runs through the surf towards,,the shore.
11890,A child in an orange,,A child in an orange costume danced joyfully at the Halloween party.
11891,Two brown and white dogs running on,,a grassy field.
11892,Two old women sitting on,,"a park bench, chatting."
11893,A man with a blue,,A man with a blue beard walked into the room.
11894,Man in leather jacket and scarf sits,,"on a bench, watching the sunset."
11895,A couple opening up,,a new business together.
11896,A man in a blue shirt and a woman in,,a red dress walked hand in hand through the park.
11897,A furry dog is,,a soft and fluffy pet.
11898,A street performer wearing sunglasses and painted in bronze colored paint is,,"standing still, posing as a living statue."
11899,A man wearing a white shirt and a,,blue tie walked into the room.
11900,A man wearing an orange shirt and sunglasses,,"walked down the street, whistling a cheerful tune."
11901,A man running in a,,marathon.
11902,a man giving two thumbs,,up is a sign of approval or satisfaction.
11903,A man is wearing a neon yellow vest while leaning,,against a street lamp.
11904,Two young girls are jumping,,on the trampoline.
11905,Middle-aged man cleaning the fallen snow on the,,driveway with a shovel.
11906,Man and a woman at the side,,"of the road, waiting for a ride."
11907,Four women carrying shoulder bags are,,walking down the street.
11908,"Four women and two men are in a kitchen,",,preparing a meal together.
11909,the white dog is carrying,,a red ball.
11910,A white dog holds a tennis ball,,in its mouth.
11911,A man in colorful shorts,,is running through a field of flowers.
11912,A man falling off a bull as,,it bucks wildly in the rodeo arena.
11913,Several people are waiting,,in line for the bus.
11914,A small child dressed for winter stares across a lake while,,snowflakes gently fall around them.
11915,A person belted into a,,car seat is safer during a collision.
11916,An Asian man is performing,,a traditional dance.
11917,An old man in a pink polo looks through a telescope with a small,,boy standing beside him.
11918,Two dogs are digging under a large,,fence.
11919,"The brown, furry animal is walking in the",,forest.
11920,A policeman on a,,motorcycle pulled over the speeding car.
11921,A person is hanging on to the,,edge of a cliff.
11922,A man on one miniature train passes a circular object,,to a woman on another miniature train as they move alongside each other.
11923,A businessman in a white sweater conducts necessary business in,,a bustling city center.
11924,Four people wearing backpacks walking in,,a forest trail.
11925,A silver car is passing by the entrance of,,the mall.
11926,A woman wearing purple and carrying a,,purse walked down the street.
11927,A passenger wearing a life jacket prepares to take a,,seat on the ferry.
11928,Small dog in costume stands on,,"hind legs, waving paws."
11929,"The dog is in snow, and",,it is shivering.
11930,A young dark-haired woman with red sun visor holding,,"a camera, smiling at the view in front of her."
11931,"Two basketball players on opposing teams, one in white, the other in",,"blue, are competing for the ball."
11932,A woman sitting with a guitar talking,,to a group of children under a tree.
11933,There's a red bus making a left turn into,,the station.
11934,Two men are loading bales of wheat on top,,of a truck.
11935,People protesting age discrimination in,,the workplace often demand equal opportunities and fair treatment regardless of age.
11936,An older woman is looking at herself in,,a mirror.
11937,A woman in a blue apron is,,preparing a meal in the kitchen.
11938,"three teenagers wearing t-shirt run down the beach,",,laughing and enjoying the warm sun on their skin.
11939,"Overly dramatic couple pose for a picture where an ""angry",,"thundercloud looms in the background, adding to the intensity of their expressions."""
11940,A girl in a hat,,"sat on a bench, watching the sunset."
11941,"An old man, likely a blacksmith, is welding a tool,",,"his hands steady despite the years, the flame casting a warm glow on his weathered face."
11942,A man in a red shirt and a man in a,,blue shirt are arguing.
11943,A man in a white shirt and gray slack hitting a golf ball,,A man in a white shirt and gray slacks is hitting a golf ball.
11944,A man in green pants and,,a red shirt walked down the street.
11945,A man wearing a black jacket stands,,"in front of the old, abandoned house, his eyes scanning the dark windows."
11946,A dog jumps over,,the fence.
11947,"Two guys playing soccer, one in",,red and one in blue.
11948,A well dressed elderly woman standing in front of,,a grand piano in a spacious room.
11949,A tennis player in a pink outfit,,serves the ball with grace and precision.
11950,A young man standing,,"A young man standing tall and proud, looking into the distance."
11951,A man is performing for a group,,A man is performing for a group of onlookers.
11952,a black dog chases a,,white rabbit.
11953,A man sits behind a decorated table inside,,"a brightly lit room, surrounded by flowers and candles."
11954,A blond woman with a tattoo of on an angel on her,,"back stood by the window, lost in thought."
11955,A woman looks at a picture and framing tools while standing,,in an art gallery.
11956,A young girl jumps off her,,swing.
11957,A group is walking between,,the trees in the forest.
11958,Four people walk across stepping stones,,to reach the other side of the stream.
11959,An older man sifts water through his fingers as,,"he stands by the riverbank, lost in thought."
11960,The women is photographing statues,,The woman is photographing statues.
11961,"A young girl is wearing a blue patterned swimsuit, a black and",,white polka-dotted beach hat.
11962,A man in purple,,walked down the street.
11963,A worker shoveling dirt,,A worker shoveling dirt into a wheelbarrow.
11964,An old gray-haired man with glasses in a,,"plaid shirt and suspenders sat on a wooden bench, reading a newspaper."
11965,Four men in the forest move,,"Four men in the forest move silently, their eyes scanning the dense underbrush for any sign of movement."
11966,A little girl drawing with,,crayons on a piece of paper.
11967,A lady in a white tank,,"top walked gracefully through the park, her long hair flowing freely in the breeze."
11968,A racer on a motorcycle lifts,,the front wheel to perform a wheelie.
11969,An older woman with short red-hair,,walked into the room with a confident stride.
11970,Two women are eating lollipops- the blond woman is wearing a button and,,the brunette woman is wearing a necklace.
11971,A man is giving another man a,,shave.
11972,Men at a party hanging,,"out, laughing and chatting."
11973,"A man and two women are walking down a wooded path, the",,"man is in the middle, holding a map and looking at it occasionally."
11974,Girls giving a presentation,,Girls are giving a presentation.
11975,A older man with gray hair wearing a gray,,"suit walked slowly down the street, his cane tapping against the pavement with each step."
11976,The man in camouflage pants telephones 911 for the man in black,,The man in camouflage pants telephones 911 for the man in black who is lying unconscious on the ground.
11977,A newspaper delivery man smiles as he walks down a,,quiet street in the early morning light.
11978,A young redheaded girl in a blue shirt is walking,,"down the street, her pigtails bouncing with each step."
11979,A man wearing a straw hat sitting in a chair holding the leash,,of a sleeping dog.
11980,Sexy young men stand on a,,"beach, catching the sun and enjoying the waves."
11981,A little boy with an orange backpack,,"ran through the park, laughing as he chased after the butterflies."
11982,A group of young men are,,playing soccer in the park.
11983,A man wearing a gray tank top is collecting a red,,A man wearing a gray tank top is collecting a red ball.
11984,A little baby wearing a blue,,onesie is giggling.
11985,A woman is applying lip makeup to another woman,,in a mirror.
11986,There is a woman in a white tank top and camouflage pants,,standing near a wooden fence.
11987,Woman wearing an orange,, Woman wearing an orange dress walked gracefully through the crowded market.
11988,A woman in a headscarf sitting,,"on a park bench, watching children play."
11989,"A man wearing an oxford shirt,",,"a pair of khakis, and a blazer walked into the room."
11990,Two girls in bathing,,suits were playing volleyball on the beach.
11991,Women are working and,,men are supporting.
11992,Politician John McCain on,,"October 5, 2018, lost his battle with brain cancer at the age of 81."
11993,Pedestrians use the crosswalks as traffic awaits,,the signal to change.
11994,Several people including a child and a,,dog were injured in the accident.
11995,Person in a long red coat,,walks down the snowy street.
11996,A young Asian child stands at the top of some steps,,"A young Asian child stands at the top of some steps, looking down with a mix of curiosity and hesitation."
11997,A child rides a bicycle,,down the street.
11998,A woman wearing colonial clothing is sitting on,,a wooden chair in front of a fireplace.
11999,An older caucasian couple is having their picture taken by,,a young Asian tourist who kindly offered to help.
12000,Three performers are on the stage,,"Three performers are on the stage, each bringing their unique talents to the spotlight."
12001,A little girl in a gray,,dress was skipping down the sidewalk.
12002,"Two girls, one with dark hair, wearing glasses and red pants, the other with",,"blonde hair, wearing a blue dress and white shoes, are sitting on a bench in the park."
12003,Two young boys are playing in,,the park.
12004,A woman in a pink top is holding a glass bottle,,A woman in a pink top is holding a glass bottle of water.
12005,A man jumps off a cliff,,into the deep blue sea below.
12006,A young woman cooks a meal in a wok while,,"her friends gather around the kitchen, chatting and laughing."
12007,"Two women are in a small kitchen,",,preparing dinner together.
12008,The man wearing blue,,walked into the room.
12009,Two men entering a brick,,building.
12010,A male with sunglasses is poking,,a female with a stick.
12011,Two construction workers perched on an,," scaffolding, hammering away at the framework of a new building."
12012,Two girls holding bags,,walk down the street.
12013,The young girl is airborne as,,she jumps over the puddle.
12014,Two women sitting at a,,"table, chatting and sipping coffee."
12015,An obese white male wearing a blue shirt and khaki shorts,,"walked slowly through the park, his footsteps heavy on the path."
12016,An older man is kneeling and talking to a,,young boy.
12017,A woman in a spaghetti strap tank wearing a,,pair of denim shorts walked confidently down the street.
12018,A rugby player swings his leg,,to kick the ball.
12019,A woman in a striped shirt is,,walking down the street.
12020,A girl in a black skirt,,walked down the street.
12021,The little boy is smiling as he,,rides his new bicycle around the park.
12022,A woman with a blue shirt and colorful,,"skirt walked gracefully through the bustling market, her laughter blending with the vibrant sounds around her."
12023,"Two men, wearing identical shirts look",,at each other with puzzled expressions.
12024,A woman sits on a rug next to a shirtless boy who is,,playing with toy cars.
12025,"A group of men, women",,"and children gathered around the bonfire, sharing stories and songs into the night."
12026,A woman in a purple jacket walks,,"down the street, her heels clicking on the pavement."
12027,A woman in a blue jacket dragging a,,suitcase through the airport.
12028,"A guy with piercings, tattoos and a mohawk is",,likely to be seen as edgy or rebellious.
12029,Two men pouring concrete,,are working on a construction site.
12030,A black dog is swimming with,,a red ball.
12031,A young boy is taking American flags to place them where,,on the graves in the cemetery.
12032,"A female acrobat with long, blond curly hair, dangling upside",,"down from a high trapeze, her legs gracefully intertwined with the bar."
12033,A musical group performs on,,a stage.
12034,A young face-painted boy,,grins widely at the camera.
12035,A young boy wearing an orange jacket is,,playing in the park.
12036,Two smiling young girls wearing plastic,,Two smiling young girls wearing plastic crowns.
12037,Children are playing in the,,park.
12038,Man in traditional costume holding small guitar,,strums melodically under the village square's old oak tree.
12039,A little boy is sitting on,,"a park bench, watching the ducks in the pond."
12040,A boy in a green shirt surrounded by toys and another,,boy in a blue shirt laughing together.
12041,A male baseball player for the baseball team,,throws the ball to first base to get the runner out.
12042,A soldier using binoculars,,A soldier using binoculars to scan the horizon.
12043,A woman and two children walk along stones,,A woman and two children walk along stones in a tranquil garden.
12044,A singer wearing a leather jacket performs,,on stage under the spotlight.
12045,A busy street with building lined up and,,people rushing to their destinations.
12046,A man cycling on,,a busy street.
12047,"A man wearing a blue shirt, black apron, eyeglasses,",,and a chef's hat is chopping vegetables in the kitchen.
12048,A man wearing a brightly green camouflage patterned denim jacket,,"walked through the crowded market, his presence drawing curious glances from passersby."
12049,A dog with a ball in his mouth,,looks playful and ready for a game.
12050,A couple walks hand-in-hand in front of Victorian-style building and,,a quaint cobblestone street.
12051,A man in shorts and flip-flops is,,walking on the beach.
12052,Two boys in a canoe in front of,,a tranquil lake at sunset.
12053,The woman in the white coat is,,a doctor.
12054,A group of students are,,working on a project together.
12055,A man in a red delivery truck is,,driving down the street.
12056,Three men in orange suits are,,working on the side of the road.
12057,A boy lying on a hospital bed,,"looks pale and weak, with an IV drip beside him."
12058,Two people are participating,,in a friendly competition.
12059,A man and a woman jumping,,A man and a woman jumping over a puddle.
12060,A man throws his young boy playfully,,"into the air, catching him safely as they both laugh."
12061,Three children are shooting,,Three children are shooting hoops.
12062,People are hiking up a,,steep mountain trail.
12063,An individual is crouched down on top,,"of a rooftop, peering through a pair of binoculars."
12064,"A woman and two men, that are",,"brothers, entered the room."
